Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,ACS22_5yr_B28008001,ACS22_5yr_B28008002,ACS22_5yr_B28008003,ACS22_5yr_B28008004,ACS22_5yr_B28008005,ACS22_5yr_B28008006,ACS22_5yr_B28008007,ACS22_5yr_B28008008,ACS22_5yr_B28008009,ACS22_5yr_B28008010,ACS22_5yr_B28008001s,ACS22_5yr_B28008002s,ACS22_5yr_B28008003s,ACS22_5yr_B28008004s,ACS22_5yr_B28008005s,ACS22_5yr_B28008006s,ACS22_5yr_B28008007s,ACS22_5yr_B28008008s,ACS22_5yr_B28008009s,ACS22_5yr_B28008010s,ACS22_5yr_B28010001,ACS22_5yr_B28010002,ACS22_5yr_B28010003,ACS22_5yr_B28010004,ACS22_5yr_B28010005,ACS22_5yr_B28010006,ACS22_5yr_B28010007,ACS22_5yr_B28010001s,ACS22_5yr_B28010002s,ACS22_5yr_B28010003s,ACS22_5yr_B28010004s,ACS22_5yr_B28010005s,ACS22_5yr_B28010006s,ACS22_5yr_B28010007s,ACS22_5yr_B28011001,ACS22_5yr_B28011002,ACS22_5yr_B28011003,ACS22_5yr_B28011004,ACS22_5yr_B28011005,ACS22_5yr_B28011006,ACS22_5yr_B28011007,ACS22_5yr_B28011008,ACS22_5yr_B28011001s,ACS22_5yr_B28011002s,ACS22_5yr_B28011003s,ACS22_5yr_B28011004s,ACS22_5yr_B28011005s,ACS22_5yr_B28011006s,ACS22_5yr_B28011007s,ACS22_5yr_B28011008s
"132759602001","Block Group 1, Census Tract 9602, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1686,1636,0,1468,1216,1142,74,252,168,50,363.0303,365.4546,8.484848,377.5757,392.7273,378.1818,30.90909,93.93939,83.0303,30.30303,689,648,476,36,612,172,41,112.7273,115.7576,119.3939,19.39394,112.7273,48.48485,27.27273,689,592,0,434,77,9,0,97,112.7273,116.9697,8.484848,120.6061,23.0303,9.090909,8.484848,30.30303
"132759602002","Block Group 2, Census Tract 9602, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1906,1840,0,1752,1322,1283,39,430,88,66,233.9394,240,8.484848,242.4242,210.303,210.303,27.27273,180.6061,43.0303,41.81818,756,716,629,15,701,87,40,90.30303,90.90909,89.09091,9.69697,90.90909,35.75758,20.60606,756,659,0,396,117,0,8,89,90.30303,89.09091,8.484848,83.0303,39.39394,8.484848,8.484848,36.9697
"132759602003","Block Group 3, Census Tract 9602, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,814,803,0,779,606,577,29,173,24,11,230.303,234.5455,8.484848,237.5758,227.8788,227.8788,16.36364,110.9091,15.75758,9.090909,239,228,179,17,211,49,11,47.27273,50.90909,52.12121,10.30303,50.30303,19.39394,9.090909,239,204,0,89,70,0,0,35,47.27273,51.51515,8.484848,28.48485,43.0303,8.484848,8.484848,19.39394
"132759603001","Block Group 1, Census Tract 9603, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1498,1377,0,1105,935,915,20,170,272,121,267.2727,258.7879,8.484848,228.4848,212.1212,212.7273,8.484848,69.69697,113.3333,46.06061,691,582,305,13,569,277,109,125.4545,114.5455,77.57576,9.69697,111.5152,82.42424,44.24242,691,507,0,395,39,0,13,171,125.4545,105.4545,8.484848,96.36364,15.15152,8.484848,10.30303,53.93939
"132759603002","Block Group 2, Census Tract 9603, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1528,1505,0,1332,872,845,27,460,173,23,244.8485,246.0606,8.484848,244.2424,231.5152,227.8788,23.0303,144.2424,62.42424,10.30303,560,542,399,4,538,143,18,83.63636,83.63636,83.63636,4.848485,84.24242,36.36364,9.090909,560,465,0,143,197,0,22,73,83.63636,83.63636,8.484848,36.36364,75.15151,8.484848,12.72727,24.24242
"132759604001","Block Group 1, Census Tract 9604, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,940,883,0,719,529,420,109,190,164,57,171.5152,168.4848,8.484848,151.5152,105.4545,101.8182,43.63636,116.9697,92.12122,28.48485,375,348,257,23,325,91,27,66.66666,66.66666,49.09091,10.30303,64.84849,41.81818,11.51515,375,272,0,182,9,0,34,69,66.66666,53.33333,8.484848,35.15152,10.30303,8.484848,27.27273,35.75758
"132759604002","Block Group 2, Census Tract 9604, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1665,1536,0,1403,761,707,54,642,133,129,174.5455,163.0303,8.484848,173.9394,151.5152,150.303,23.0303,133.9394,61.81818,66.06061,646,594,417,6,588,177,52,80,76.9697,64.24242,6.666667,76.9697,47.87879,21.21212,646,511,0,237,89,0,33,102,80,73.93939,8.484848,54.54546,42.42424,8.484848,23.63636,38.18182
"132759605011","Block Group 1, Census Tract 9605.01, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960501","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,924,901,0,901,901,762,139,0,0,23,240.6061,246.0606,8.484848,246.0606,246.0606,215.7576,131.5152,8.484848,8.484848,22.42424,389,377,277,0,377,100,12,98.18182,100.6061,69.09091,8.484848,100.6061,79.39394,11.51515,389,377,0,366,11,0,0,12,98.18182,100.6061,8.484848,101.8182,12.72727,8.484848,8.484848,11.51515
"132759605012","Block Group 2, Census Tract 9605.01, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960501","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,2013,1917,12,1804,1565,1565,0,239,101,96,300,306.6667,23.0303,291.5151,309.697,309.697,8.484848,115.7576,83.0303,70.30303,651,593,439,0,593,154,58,90.90909,87.27273,73.93939,8.484848,87.27273,63.63636,40,651,572,3,437,45,0,0,79,90.90909,88.48485,6.060606,71.51515,28.48485,8.484848,8.484848,41.21212
"132759605013","Block Group 3, Census Tract 9605.01, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960501","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,946,672,0,577,521,506,15,56,95,274,245.4545,192.7273,8.484848,153.9394,150.303,151.5152,16.36364,39.39394,100,125.4545,578,329,251,15,314,78,249,140,77.57576,65.45454,16.36364,76.9697,47.87879,119.3939,578,312,0,256,0,0,17,249,140,73.93939,8.484848,63.63636,8.484848,8.484848,18.78788,119.3939
"132759605021","Block Group 1, Census Tract 9605.02, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960502","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,2164,2133,0,2017,1762,1698,64,255,116,31,208.4848,210.303,8.484848,213.9394,196.3636,200,47.27273,112.7273,106.6667,27.27273,965,948,780,14,934,168,17,100.6061,101.2121,106.0606,13.93939,101.2121,67.87878,14.54545,965,891,0,745,7,0,57,17,100.6061,113.9394,8.484848,94.54546,8.484848,8.484848,51.51515,14.54545
"132759605022","Block Group 2, Census Tract 9605.02, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960502","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,344,329,0,329,163,153,10,166,0,15,127.8788,129.697,8.484848,129.697,67.87878,70.30303,10.90909,109.0909,8.484848,16.9697,175,160,115,0,160,45,15,57.57576,56.36364,41.21212,8.484848,56.36364,41.81818,16.9697,175,160,0,99,10,10,0,15,57.57576,56.36364,8.484848,36.9697,10.90909,10.90909,8.484848,16.9697
"132759606011","Block Group 1, Census Tract 9606.01, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960601","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1173,1152,0,1041,940,927,13,101,111,21,197.5758,197.5758,8.484848,215.1515,221.8182,220.6061,13.33333,57.57576,90.30303,15.75758,440,419,306,34,385,113,21,70.30303,70.30303,57.57576,26.66667,63.0303,58.18182,15.75758,440,375,0,313,0,0,56,9,70.30303,63.0303,8.484848,58.18182,8.484848,8.484848,46.66667,9.090909
"132759606012","Block Group 2, Census Tract 9606.01, Thomas County, Georgia","ga","150","00",,,,"13","275",,,"960601","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1283,1267,0,1267,1257,1095,162,10,0,16,252.7273,255.1515,8.484848,255.1515,256.3636,268.4849,83.0303,10.90909,8.484848,16.36364,557,541,541,16,525,0,16,91.51515,92.12122,92.12122,15.75758,95.15151,8.484848,16.36364,557,541,0,531,15,0,0,16,91.51515,92.12122,8.484848,93.33334,14.54545,8.484848,8.484848,16.36364
